ad_id,page_id,page_name,ad_creative_body,ad_creative_link_caption,ad_creative_link_description,ad_creative_link_title,ad_delivery_start_time,ad_delivery_stop_time,ad_creation_time,funding_entity,impressions_min,impressions_max,spend_min,spend_max,ad_url
467909064331280,121264564551002,VVD,"Een streng en rechtvaardig asielbeleid. Dat is waar we voor staan. 

In Nederland is absoluut geen plaats voor haatzaaien en religieuze onderdrukking. Onze vrije waarden moeten we samen beschermen.",www.vvd.nl,,Bente Becker over een streng en rechtvaardig asielbeleid.,2021-03-14,2021-03-14,2021-03-14,VVD,0,999,0,99,https://www.facebook.com/ads/library/?id=467909064331280
745588502814825,121264564551002,VVD,,vvd.nl,"De VVD is de grootste politieke partij in de Tweede Kamer. Bekijk onze standpunten, verhalen achter politici en ontdek hoe je mee kunt doen met de VVD.",VVD,2021-03-16,2021-03-16,2021-03-14,VVD,0,999,0,99,https://www.facebook.com/ads/library/?id=745588502814825
820382238688088,121264564551002,VVD,,vvd.nl,"De VVD is de grootste politieke partij in de Tweede Kamer. Bekijk onze standpunten, verhalen achter politici en ontdek hoe je mee kunt doen met de VVD.",VVD,2021-03-16,2021-03-16,2021-03-14,VVD,0,999,0,99,https://www.facebook.com/ads/library/?id=820382238688088
188078896416265,121264564551002,VVD,,vvd.nl,"De VVD is de grootste politieke partij in de Tweede Kamer. Bekijk onze standpunten, verhalen achter politici en ontdek hoe je mee kunt doen met de VVD.",VVD,2021-03-16,2021-03-16,2021-03-14,VVD,1000,1999,0,99,https://www.facebook.com/ads/library/?id=188078896416265
450418006078721,121264564551002,VVD,,vvd.nl,"De VVD is de grootste politieke partij in de Tweede Kamer. Bekijk onze standpunten, verhalen achter politici en ontdek hoe je mee kunt doen met de VVD.",VVD,2021-03-16,2021-03-16,2021-03-14,VVD,0,999,0,99,https://www.facebook.com/ads/library/?id=450418006078721
2898814453728625,121264564551002,VVD,,vvd.nl,"De VVD is de grootste politieke partij in de Tweede Kamer. Bekijk onze standpunten, verhalen achter politici en ontdek hoe je mee kunt doen met de VVD.",VVD,2021-03-16,2021-03-16,2021-03-14,VVD,0,999,0,99,https://www.facebook.com/ads/library/?id=2898814453728625
750981165593927,121264564551002,VVD,,vvd.nl,"De VVD is de grootste politieke partij in de Tweede Kamer. Bekijk onze standpunten, verhalen achter politici en ontdek hoe je mee kunt doen met de VVD.",VVD,2021-03-16,2021-03-16,2021-03-14,VVD,3000,3999,0,99,https://www.facebook.com/ads/library/?id=750981165593927
272134824628317,121264564551002,VVD,,vvd.nl,"De VVD is de grootste politieke partij in de Tweede Kamer. Bekijk onze standpunten, verhalen achter politici en ontdek hoe je mee kunt doen met de VVD.",VVD,2021-03-16,2021-03-16,2021-03-14,VVD,0,999,0,99,https://www.facebook.com/ads/library/?id=272134824628317
1166067903843682,121264564551002,VVD,,vvd.nl,"De VVD is de grootste politieke partij in de Tweede Kamer. Bekijk onze standpunten, verhalen achter politici en ontdek hoe je mee kunt doen met de VVD.",VVD,2021-03-16,2021-03-16,2021-03-14,VVD,0,999,0,99,https://www.facebook.com/ads/library/?id=1166067903843682
144733794115649,121264564551002,VVD,,vvd.nl,"De VVD is de grootste politieke partij in de Tweede Kamer. Bekijk onze standpunten, verhalen achter politici en ontdek hoe je mee kunt doen met de VVD.",VVD,2021-03-16,2021-03-16,2021-03-14,VVD,0,999,0,99,https://www.facebook.com/ads/library/?id=144733794115649
194956381998822,121264564551002,VVD,,vvd.nl,"De VVD is de grootste politieke partij in de Tweede Kamer. Bekijk onze standpunten, verhalen achter politici en ontdek hoe je mee kunt doen met de VVD.",VVD,2021-03-16,2021-03-16,2021-03-14,VVD,0,999,0,99,https://www.facebook.com/ads/library/?id=194956381998822
459900765209082,121264564551002,VVD,,vvd.nl,"De VVD is de grootste politieke partij in de Tweede Kamer. Bekijk onze standpunten, verhalen achter politici en ontdek hoe je mee kunt doen met de VVD.",VVD,2021-03-16,2021-03-16,2021-03-14,VVD,5000,5999,100,199,https://www.facebook.com/ads/library/?id=459900765209082
